,genename,bianyileixing,count,uuid
96,ABCB6,frameshift insertion,4,15a30385-d5c0-4520-99ca-616324e1cf5f
97,ABCB6,frameshift substitution,1,7013e012-2ea8-43fa-a09a-c4750b70f33d
98,ABCB6,nonframeshift deletion,3,2e84280f-26f5-445f-915d-56923a62f0a3
99,ABCB6,nonsynonymous SNV,30,67028e10-344d-4931-9e63-6405abff337f
100,ABCB6,stopgain,5,00b63891-23fe-4937-9cb7-8259a7cc66a6
101,ABCB7,nonsynonymous SNV,6,6e6faf6f-be1e-479b-926e-47cdd6e64712
102,ABCC1,nonsynonymous SNV,8,e2e0b0c6-bf96-40eb-afe7-ce11f61865cd
103,ABCC11,nonsynonymous SNV,2,ba5f3112-fc0a-4247-a7f9-e3760507053e
104,ABCC11,stopgain,2,f7f4fb09-ced9-4457-adb8-3a8690c799ba
105,ABCC12,stopgain,2,be7843af-4bff-4567-bc05-a6f154f8f4dc
106,ABCC2,frameshift deletion,5,2d3d9d36-9b83-4122-9264-a65c067fd25a
107,ABCC2,nonframeshift deletion,1,279b5a2f-2ed5-493a-83b8-995a1ad5ab7c
108,ABCC2,nonframeshift substitution,1,7ce36fe2-1d6b-4ebc-895f-71f86afa8486
109,ABCC2,nonsynonymous SNV,24,6af4d9af-0a3f-4b57-8e40-ccc09d61485e
110,ABCC2,stopgain,8,289a2d34-56ab-4e01-bf10-40112270ce77
111,ABCC2,synonymous SNV,1,66c16d6d-0919-456a-b8cc-5a0ab4a17df1
112,ABCC3,frameshift deletion,1,3e0f7355-5ac1-4267-8ca3-aaded01ae249
113,ABCC3,nonsynonymous SNV,3,51a207ce-ee6b-40db-9456-7521a6521368
114,ABCC3,stopgain,1,1e5075bf-1af1-4ec3-8e7c-a79fb76fbbf9
115,ABCC4,frameshift insertion,1,7997b020-1057-411b-bea0-42c143027aaf
116,ABCC4,nonsynonymous SNV,8,a7724f4e-35f5-418b-8eb4-8186416cfda5
117,ABCC4,stopgain,1,603c7fdc-eb0b-4288-8518-9113c96ebd83
118,ABCC6,frameshift deletion,23,b3353d19-accc-4cd9-8f74-9404422c8b19
119,ABCC6,frameshift insertion,11,fedcf1d2-e26e-4b98-b833-2bc5033d5e5e
120,ABCC6,nonframeshift deletion,8,190df104-d7cf-4556-b95f-d1b5c7a54865
121,ABCC6,nonsynonymous SNV,159,9c95177f-97cd-4376-bf8f-c4160bb95b1a
122,ABCC6,stopgain,26,43d364de-e00a-48a8-aeb4-e706bea1fc08
123,ABCC6,synonymous SNV,1,ec4bc5fc-12ce-48ca-8b67-1840351b4a08
124,ABCC9,nonsynonymous SNV,22,4ccaca50-ecd4-4bb6-ab8b-775a962a4a7c
125,ABCC9,stopgain,1,feb63082-19bf-4079-9018-05f85426b2f2
126,ABCD1,frameshift deletion,85,6d6655b5-4244-4d64-a54b-8cb0d100492b
127,ABCD1,frameshift insertion,42,a394f001-7a22-481d-8347-4760c9307974
128,ABCD1,frameshift substitution,9,99fc401c-b71c-44f0-95e6-d42edd9c767a
129,ABCD1,nonframeshift deletion,22,60c68708-b864-493a-81d4-bf5418dcab34
130,ABCD1,nonframeshift insertion,9,640577a5-33f3-41d2-84de-b6121aa414ac
131,ABCD1,nonframeshift substitution,6,8269d123-bf13-40c4-9132-292158559890
132,ABCD1,nonsynonymous SNV,327,0641eb9c-da8c-4444-82b7-ac1a4e3c976c
133,ABCD1,stopgain,78,01d255b2-3ea2-4058-b8ec-6f0bd698d723
134,ABCD1,synonymous SNV,2,90d39ced-dc23-4d2f-ae06-0597517b4b79
135,ABCD3,nonsynonymous SNV,1,c03aea00-23b7-45fc-99da-304917dc86f5
136,ABCD4,frameshift insertion,1,bd87655a-8448-40f5-8677-a81728d49d4d
137,ABCD4,nonsynonymous SNV,3,8d35f911-d791-4567-986c-c271ed83f98c
138,ABCE1,nonsynonymous SNV,1,b9f2ab03-0e63-43f0-a0bf-7146dee59af0
139,ABCG1,nonsynonymous SNV,3,743246eb-3421-49e1-8be3-c2e0ec4be02f
140,ABCG2,frameshift deletion,5,43a5bf59-ed13-46ba-969f-d091b6a51408
141,ABCG2,frameshift insertion,4,8e6ccf79-8e31-4c83-9664-a2d8a96e5d5f
142,ABCG2,nonframeshift deletion,1,b91e75b7-df32-4dca-a4f8-0cb26d1b2ef4
143,ABCG2,nonsynonymous SNV,19,7a365889-63dd-402d-808c-33a30632fa3d
144,ABCG2,stopgain,10,72e5db41-bb5c-44a1-857f-d7af2c8ad51a
145,ABCG5,frameshift deletion,2,3fa529a3-5459-46df-96d5-6553595f975c
146,ABCG5,frameshift insertion,1,0a325535-11c6-46d2-bf8e-b0484bb7fdfe
147,ABCG5,nonsynonymous SNV,17,f0d79668-678c-43bc-a6cd-4463be642f30
148,ABCG5,stopgain,9,711d3ca4-02e5-45c0-9c9d-7d2481c91b01
149,ABCG8,frameshift deletion,2,f8790838-e2d8-4da7-83d8-7cf4708ffd0e
150,ABCG8,frameshift substitution,2,40bce197-4767-4557-91c2-49cc0901464c
151,ABCG8,nonframeshift deletion,1,01071fc4-31c8-4fb6-a950-24ee7697a8df
152,ABCG8,nonsynonymous SNV,18,83890f00-c301-415f-a533-58ec100ff505
153,ABCG8,stopgain,11,55392ff9-0c85-4ab2-bb35-93f2fc7c50dd
154,ABHD12,frameshift deletion,1,264bff6c-90c2-4e28-b22f-67eafd282131
155,ABHD12,frameshift substitution,1,457976f3-3400-4ccc-989a-167a06c4741b
156,ABHD12,nonsynonymous SNV,4,e0bc0989-0e2c-4433-9fbe-3db2f061ba1c
157,ABHD12,stopgain,6,c3a2f442-4e23-46d5-a617-a58462f5c9c2
158,ABHD5,frameshift deletion,3,ddae2ed0-6ec5-44eb-87ad-f63afc1ab7cc
159,ABHD5,frameshift insertion,1,4e506cd3-2821-4567-8b93-2078943f1e4d
160,ABHD5,nonsynonymous SNV,9,2d9bc269-c498-4586-afb2-6af131054aab
161,ABHD5,stopgain,11,bd656db2-bb5e-4eb5-be09-238616fe7a82
162,ABI3BP,nonsynonymous SNV,1,c02f0d07-7b5c-415c-93bc-45231ff3750f
163,ABLIM1,stopgain,1,79c96732-cd66-4de3-9331-23da33063fc2
164,ABRAXAS1,frameshift deletion,1,08e1467f-81b7-4302-a9f2-4141f6daf0c7
165,ABRAXAS1,nonsynonymous SNV,1,cc992821-0e08-48ff-90dc-a834c51ba4a4
166,ABRAXAS2,frameshift deletion,1,f51a5174-20e0-460b-89de-57b6152bc176
167,ACACB,frameshift insertion,1,9bb282be-d293-4f4d-bd81-995f026b2cf2
168,ACACB,nonsynonymous SNV,2,a9ccedd0-af55-4b9f-aa7a-a3c277f4c00e
169,ACAD8,frameshift insertion,1,7dfd2fde-3de1-40a2-8c05-473133522c89
170,ACAD8,nonsynonymous SNV,18,6b6618c4-48f8-454a-abde-bdac1e2b4fc1
171,ACAD8,stopgain,1,3838e842-0d06-41fb-b6de-41ec51480a60
172,ACADL,nonsynonymous SNV,1,0be39b9f-4e48-4a06-941e-a80543475f9c
173,ACADL,stopgain,1,bf686e38-ccca-4be4-98b9-6503bb8b0c4d
174,ACADM,frameshift deletion,9,a9a667ac-a2f9-4459-9941-5e807d512db4
175,ACADM,frameshift insertion,6,b721684e-1a31-4b40-85bd-0473b4f23704
176,ACADM,nonframeshift deletion,4,dabab750-4434-4881-9f82-9f339fa3bfe7
177,ACADM,nonsynonymous SNV,106,588db361-034e-4c03-8c95-bc43237bd545
178,ACADM,stopgain,11,da88c859-5d79-4a07-8e89-d907e3da79ec
179,ACADM,synonymous SNV,3,cd94d600-767a-48fb-8317-938c3f294342
180,ACADS,frameshift deletion,4,e9f615bc-b38d-4701-bf2a-a454f8d8e152
181,ACADS,nonframeshift deletion,2,16b86871-f971-44d6-954f-de8ffa5e98e5
182,ACADS,nonsynonymous SNV,59,8106c131-fdf6-4a32-b5ad-10d77ad764fa
183,ACADS,stopgain,7,03f372f8-90eb-4646-a4cb-bda1981d8d36
